name,score,Energy,Fat,Saturated Fat,Unsaturated Fat,Carbohydrates,Suger,Fiber,Protein,Salt,Calcium,Vitamin B2,Vitamin C,Omega3,Alpha-Linolenic Acid,Eicosapentaenoic Acid,Docosahexaenoic Acid,Vitamin B6,Vitamin D
De Zaanse Hoeve Jong belegen 30+ plakken,D,295.0,19.0,13.0,6.0,0.0,0.0,0.0,31.0,1.9,,,,,,,,,
AH Cottage cheese,B,91.0,3.5,2.2,1.0,2.8,2.8,0.0,12.0,0.6,,,,,,,,,
AH Smeerkaas naturel,D,255.0,21.0,13.0,7.6,2.4,2.4,0.0,14.0,2.5,,,,,,,,,
AH Rijstwafels naturel,A,380.0,3.0,0.7,2.5,79.0,1.0,4.0,7.5,0.23,,,,,,,,,
AH Beschuit naturel,A,420.0,5.2,1.5,2.8,76.0,8.2,4.4,15.0,0.43,,,,,,,,,
AH Biologisch Maiswafels met zeezout rond,B,383.0,0.7,0.0,0.7,87.0,0.6,1.5,6.5,0.28,,,,,,,,,
AH Salami,E,415.0,37.0,13.0,24.0,0.5,0.5,0.0,20.0,2.9,,,,,,,,,
AH Yorkham,C,125.0,5.0,2.0,3.0,2.0,1.9,0.0,18.0,2.0,,,,,,,,,
AH Schouderham,D,106.0,2.6,1.0,1.6,5.6,2.0,0.2,15.0,2.4,,,,,,,,,
Bolletje Volkoren beschuit,A,401.0,5.6,1.5,,66.0,7.6,12.0,16.0,0.5,,,,,,,,,
AH Filet americain naturel,D,264.0,22.0,4.3,17.0,2.3,1.4,0.4,14.0,1.9,,,,,,,,,
AH Smeerkaas 20+ naturel,C,135.0,7.0,4.5,2.5,1.0,1.0,0.0,17.0,2.0,,,,,,,,,
AH Cervelaat,E,415.0,37.0,13.0,24.0,0.5,0.5,0.0,20.0,2.9,,,,,,,,,
AH Grillworst,E,287.0,25.0,9.1,16.0,1.6,0.7,0.0,14.0,2.35,,,,,,,,,
Bolletje Echte beschuit,A,409.0,5.2,1.5,,74.0,8.5,4.0,15.0,0.41,,,,,,,,,
